127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.000522
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.000478
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.002708
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000542
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000520
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.002967
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001276
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000667
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001616
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000659
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/_2.7.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004137
127.0.0.1, 2013-12-03 00:39:11, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000340
127.0.0.1, 2013-12-03 00:39:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
